timeStamp,SIN1.AMPLITUDE,NON_SENSE_1.OUT,NON_SENSE_1.L,NON_SENSE_1.H,NON_SENSE_1.MAX_STEP,SIN1.OUT
时间戳,某工业数据,某工业数据,某工业数据,某工业数据,某工业数据,某工业数据
2025-12-10 11:05:10,100.0,81.69464960065982,0.0,100.0,3.0,0.0
2025-12-10 11:05:10,100.0,84.69464960065982,0.0,100.0,3.0,0.26179908874179936
2025-12-10 11:05:11,100.0,86.78378770884898,0.0,100.0,3.0,0.523596383141958
2025-12-10 11:05:11,100.0,84.38643392820889,0.0,100.0,3.0,0.7853900888711334
2025-12-10 11:05:12,100.0,81.38643392820889,0.0,100.0,3.0,1.0471784116245793
2025-12-10 11:05:12,100.0,78.38643392820889,0.0,100.0,3.0,1.308959557134444
2025-12-10 11:05:13,100.0,81.38643392820889,0.0,100.0,3.0,1.5707317311820674
2025-12-10 11:05:13,100.0,78.38643392820889,0.0,100.0,3.0,1.8324931396102795
2025-12-10 11:05:14,100.0,75.38643392820889,0.0,100.0,3.0,2.0942419883356957
2025-12-10 11:05:14,100.0,72.38643392820889,0.0,100.0,3.0,2.355976483361015
2025-12-10 11:05:15,100.0,69.38643392820889,0.0,100.0,3.0,2.6176948307873147
2025-12-10 11:05:15,100.0,66.38643392820889,0.0,100.0,3.0,2.8793952368263462
2025-12-10 11:05:16,100.0,63.38643392820889,0.0,100.0,3.0,3.141075907812829
2025-12-10 11:05:16,100.0,60.38643392820889,0.0,100.0,3.0,3.4027350502167444
2025-12-10 11:05:17,100.0,63.38643392820889,0.0,100.0,3.0,3.6643708706556275
2025-12-10 11:05:17,100.0,66.38643392820889,0.0,100.0,3.0,3.925981575906861
2025-12-10 11:05:18,100.0,69.38643392820889,0.0,100.0,3.0,4.187565372919963
2025-12-10 11:05:18,100.0,66.38643392820889,0.0,100.0,3.0,4.449120468828878
2025-12-10 11:05:19,100.0,63.38643392820889,0.0,100.0,3.0,4.710645070964266
2025-12-10 11:05:19,100.0,66.38643392820889,0.0,100.0,3.0,4.972137386865785
2025-12-10 11:05:20,100.0,69.38643392820889,0.0,100.0,3.0,5.233595624294383
2025-12-10 11:05:20,100.0,68.0607453426974,0.0,100.0,3.0,5.495017991244574
2025-12-10 11:05:21,100.0,65.0607453426974,0.0,100.0,3.0,5.756402695956727
2025-12-10 11:05:21,100.0,68.0607453426974,0.0,100.0,3.0,6.017747946929345
2025-12-10 11:05:22,100.0,65.0607453426974,0.0,100.0,3.0,6.279051952931337
2025-12-10 11:05:22,100.0,68.0607453426974,0.0,100.0,3.0,6.540312923014308
2025-12-10 11:05:23,100.0,71.0607453426974,0.0,100.0,3.0,6.801529066524817
2025-12-10 11:05:23,100.0,68.0607453426974,0.0,100.0,3.0,7.062698593116668
2025-12-10 11:05:24,100.0,65.0607453426974,0.0,100.0,3.0,7.323819712763169
2025-12-10 11:05:24,100.0,68.0607453426974,0.0,100.0,3.0,7.584890635769402
2025-12-10 11:05:25,100.0,65.0607453426974,0.0,100.0,3.0,7.845909572784494
2025-12-10 11:05:25,100.0,62.0607453426974,0.0,100.0,3.0,8.106874734813877
2025-12-10 11:05:26,100.0,65.0607453426974,0.0,100.0,3.0,8.367784333231548
2025-12-10 11:05:26,100.0,62.0607453426974,0.0,100.0,3.0,8.628636579792337
2025-12-10 11:05:27,100.0,59.0607453426974,0.0,100.0,3.0,8.889429686644151
2025-12-10 11:05:27,100.0,56.0607453426974,0.0,100.0,3.0,9.150161866340238
2025-12-10 11:05:28,100.0,59.0607453426974,0.0,100.0,3.0,9.410831331851432
2025-12-10 11:05:28,100.0,56.0607453426974,0.0,100.0,3.0,9.671436296578403
2025-12-10 11:05:29,100.0,53.0607453426974,0.0,100.0,3.0,9.9319749743639
2025-12-10 11:05:29,100.0,56.0607453426974,0.0,100.0,3.0,10.192445579505002
2025-12-10 11:05:30,100.0,53.0607453426974,0.0,100.0,3.0,10.452846326765346
2025-12-10 11:05:30,100.0,56.0607453426974,0.0,100.0,3.0,10.713175431387365
2025-12-10 11:05:31,100.0,59.0607453426974,0.0,100.0,3.0,10.973431109104528
2025-12-10 11:05:31,100.0,56.0607453426974,0.0,100.0,3.0,11.233611576153553
2025-12-10 11:05:32,100.0,59.0607453426974,0.0,100.0,3.0,11.493715049286658
2025-12-10 11:05:32,100.0,62.0607453426974,0.0,100.0,3.0,11.753739745783765
2025-12-10 11:05:33,100.0,65.0607453426974,0.0,100.0,3.0,12.013683883464708
2025-12-10 11:05:33,100.0,68.0607453426974,0.0,100.0,3.0,12.273545680701483
2025-12-10 11:05:34,100.0,71.0607453426974,0.0,100.0,3.0,12.533323356430426
2025-12-10 11:05:34,100.0,68.0607453426974,0.0,100.0,3.0,12.793015130164429
2025-12-10 11:05:35,100.0,65.0607453426974,0.0,100.0,3.0,13.052619222005161
2025-12-10 11:05:35,100.0,62.0607453426974,0.0,100.0,3.0,13.312133852655233
2025-12-10 11:05:36,100.0,59.0607453426974,0.0,100.0,3.0,13.571557243430437
2025-12-10 11:05:36,100.0,56.0607453426974,0.0,100.0,3.0,13.830887616271895
2025-12-10 11:05:37,100.0,53.0607453426974,0.0,100.0,3.0,14.090123193758266
2025-12-10 11:05:37,100.0,50.0607453426974,0.0,100.0,3.0,14.349262199117932
2025-12-10 11:05:38,100.0,53.0607453426974,0.0,100.0,3.0,14.608302856241162
2025-12-10 11:05:38,100.0,50.0607453426974,0.0,100.0,3.0,14.867243389692298
2025-12-10 11:05:39,100.0,53.0607453426974,0.0,100.0,3.0,15.12608202472192
2025-12-10 11:05:39,100.0,50.0607453426974,0.0,100.0,3.0,15.384816987279004
2025-12-10 11:05:40,100.0,47.0607453426974,0.0,100.0,3.0,15.643446504023087
2025-12-10 11:05:40,100.0,50.0607453426974,0.0,100.0,3.0,15.90196880233642
2025-12-10 11:05:41,100.0,47.0607453426974,0.0,100.0,3.0,16.160382110336112
2025-12-10 11:05:41,100.0,50.0607453426974,0.0,100.0,3.0,16.418684656886295
2025-12-10 11:05:42,100.0,47.0607453426974,0.0,100.0,3.0,16.676874671610225
2025-12-10 11:05:42,100.0,44.0607453426974,0.0,100.0,3.0,16.934950384902457
2025-12-10 11:05:43,100.0,41.0607453426974,0.0,100.0,3.0,17.192910027940954
2025-12-10 11:05:43,100.0,44.0607453426974,0.0,100.0,3.0,17.450751832699197
2025-12-10 11:05:44,100.0,47.0607453426974,0.0,100.0,3.0,17.70847403195833
2025-12-10 11:05:44,100.0,44.0607453426974,0.0,100.0,3.0,17.966074859319253
2025-12-10 11:05:45,100.0,41.0607453426974,0.0,100.0,3.0,18.223552549214745
2025-12-10 11:05:45,100.0,44.0607453426974,0.0,100.0,3.0,18.480905336921545
2025-12-10 11:05:46,100.0,47.0607453426974,0.0,100.0,3.0,18.73813145857246
2025-12-10 11:05:46,100.0,50.0607453426974,0.0,100.0,3.0,18.99522915116846
2025-12-10 11:05:47,100.0,48.17527331428828,0.0,100.0,3.0,19.25219665259074
2025-12-10 11:05:47,100.0,51.17527331428828,0.0,100.0,3.0,19.509032201612825
2025-12-10 11:05:48,100.0,48.17527331428828,0.0,100.0,3.0,19.765734037912612
2025-12-10 11:05:48,100.0,45.17527331428828,0.0,100.0,3.0,20.02230040208447
