Timestamp,SIN1.AMPLITUDE,NON_SENSE_1.OUT,NON_SENSE_1.L,NON_SENSE_1.H,NON_SENSE_1.MAX_STEP,SIN1.OUT
2025/12/10 11:21:41,100.0,37.413785412175585,0.0,100.0,3.0,0.0
2025/12/10 11:21:46,100.0,34.413785412175585,0.0,100.0,3.0,2.6176948307873147
2025/12/10 11:21:51,100.0,37.413785412175585,0.0,100.0,3.0,5.233595624294383
2025/12/10 11:21:56,100.0,34.413785412175585,0.0,100.0,3.0,7.845909572784494
2025/12/10 11:22:01,100.0,37.413785412175585,0.0,100.0,3.0,10.452846326765346
2025/12/10 11:22:06,100.0,34.413785412175585,0.0,100.0,3.0,13.052619222005157
2025/12/10 11:22:11,100.0,37.413785412175585,0.0,100.0,3.0,15.643446504023087
2025/12/10 11:22:16,100.0,34.413785412175585,0.0,100.0,3.0,18.223552549214748
2025/12/10 11:22:21,100.0,37.413785412175585,0.0,100.0,3.0,20.79116908177593
2025/12/10 11:22:26,100.0,34.413785412175585,0.0,100.0,3.0,23.34453638559054
2025/12/10 11:22:31,100.0,31.413785412175585,0.0,100.0,3.0,25.881904510252074
2025/12/10 11:22:36,100.0,34.413785412175585,0.0,100.0,3.0,28.40153447039226
2025/12/10 11:22:41,100.0,37.413785412175585,0.0,100.0,3.0,30.901699437494738
2025/12/10 11:22:46,100.0,40.413785412175585,0.0,100.0,3.0,33.380685923377094
2025/12/10 11:22:51,100.0,43.413785412175585,0.0,100.0,3.0,35.83679495453003
2025/12/10 11:22:56,100.0,41.33309955664522,0.0,100.0,3.0,38.268343236508976
2025/12/10 11:23:01,100.0,38.33309955664522,0.0,100.0,3.0,40.67366430758001
2025/12/10 11:23:06,100.0,41.33309955664522,0.0,100.0,3.0,43.05110968082951
2025/12/10 11:23:11,100.0,44.33309955664522,0.0,100.0,3.0,45.399049973954675
2025/12/10 11:23:16,100.0,47.33309955664522,0.0,100.0,3.0,47.71587602596084
2025/12/10 11:23:21,100.0,50.33309955664522,0.0,100.0,3.0,49.99999999999999
2025/12/10 11:23:26,100.0,47.33309955664522,0.0,100.0,3.0,52.24985647159488
2025/12/10 11:23:31,100.0,44.33309955664522,0.0,100.0,3.0,54.4639035015027
2025/12/10 11:23:36,100.0,41.33309955664522,0.0,100.0,3.0,56.64062369248328
2025/12/10 11:23:41,100.0,44.33309955664522,0.0,100.0,3.0,58.778525229247315
